,Negative keywords,Impressions,Clicks,Cost,Conversions,Conv. value,ROAS,Avg. CPC,AOV
417,URBAN BEAUTY,1202,254,7,3,120,17.14285714,0.027559055,40
418,VARIETY QUEEN,9,2,0,0,0,,0,
419,VIA NATURAL,3171,111,0,0,1,inf,0,inf
420,VIENNA COLLECTION,13,3,0,0,37,inf,0,inf
421,VIGOROL,110,14,0,1,23,inf,0,23
422,VIRGIN ORGANIC,83,20,0,1,54,inf,0,54
423,VOGUE HAIR,49,9,0,0,0,,0,
424,WALKER TAPE,1217,49,0,0,0,,0,
425,WAVE NOUVEAU,7487,187,6,4,107,17.83333333,0.032085561,26.75
426,WET-N-WAVY,0,0,0,0,0,,,
427,WIG DRESS,251,27,0,1,361,inf,0,361
428,WIGPOP,2035,196,3,11,395,131.6666667,0.015306122,35.90909091
429,WILD GROWTH,76709,1111,99,7,101,1.02020202,0.089108911,14.42857143
430,WORLD OF CURLS,1970,75,2,0,0,0,0.026666667,
431,YESONE,7,3,0,0,0,,0,
432,ZURI FLAWLESS,219,29,0,4,65,inf,0,16.25
